projet;poste;categorie;montant_previsionnel;description;financeur;organisation_responsable;phase;tache;montant_tache;annee;valorisation;statut;commentaire
CEM Liban — Triade Villepreux · Azour · LEY;"Organisation par le Conseil municipal des jeunes d'une rénovation à Villepreux (petits équipements ; nourriture ; boissons)";projet;500;;Commune de Villepreux;Libanais en Yvelines (LEY);Action 2 : Sensibilisation des jeunes à l'environnement par des visites réciproques;;;2026;;prevue;Décaissement : Villepreux
CEM Liban — Triade Villepreux · Azour · LEY;Trail annuel à Azour (Mobilisation de prestataires, ravitaillement, signalisation, communication, sécurisation etc...);investissement;2000;;MEAE;Libanais en Yvelines (LEY);Action 3 - Renforcement des dynamiques locales d’attractivité touristique et de promotion du sport nature;;;2026;;prevue;Justificatifs attendus : devis+factures de prestations et achat petit matériel — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Trail annuel à Azour (Mobilisation de prestataires, ravitaillement, signalisation, communication, sécurisation etc...);investissement;2000;;MEAE;Libanais en Yvelines (LEY);Action 3 - Renforcement des dynamiques locales d’attractivité touristique et de promotion du sport nature;;;2027;;prevue;Justificatifs attendus : devis+factures de prestations et achat petit matériel — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Trail annuel à Villepreux et Jouy-en-Josas (Mobilisation de prestataires, ravitaillement, signalisation, communication, sécurisation);investissement;1000;;Commune de Villepreux;Libanais en Yvelines (LEY);Action 3 - Renforcement des dynamiques locales d’attractivité touristique et de promotion du sport nature;;;2026;oui;prevue;Justificatifs attendus : devis+factures de prestations et achat petit matériel
CEM Liban — Triade Villepreux · Azour · LEY;Trail annuel à Villepreux et Jouy-en-Josas (Mobilisation de prestataires, ravitaillement, signalisation, communication, sécurisation);investissement;1000;;Commune de Villepreux;Libanais en Yvelines (LEY);Action 3 - Renforcement des dynamiques locales d’attractivité touristique et de promotion du sport nature;;;2027;oui;prevue;Justificatifs attendus : devis+factures de prestations et achat petit matériel
CEM Liban — Triade Villepreux · Azour · LEY;Participation d'une délégation libanaise au Trail anuel à Villepreux : action de sensibilisation envers la jeunesse yvelinoise;projet;2000;;Commune de Villepreux;Libanais en Yvelines (LEY);Action 3 - Renforcement des dynamiques locales d’attractivité touristique et de promotion du sport nature;;;2027;;prevue;Justificatifs attendus : billets d'avion — Décaissement : Villepreux
CEM Liban — Triade Villepreux · Azour · LEY;Réunions de travail et COPIL (défraiement transport, hébergement, nourriture, connexion internet etc.);fonctionnement;50;;Département des Yvelines (CD78);Libanais en Yvelines (LEY);"Autres dépenses (suivi ; coordination ; coopération)";;;2025;;prevue;Justificatifs attendus : remboursement de frais, devis+factures — Décaissement : LEY puis Azour / Comité de Jumelage puis Jeïta — réparti pour facilité logistique
CEM Liban — Triade Villepreux · Azour · LEY;Réunions de travail et COPIL (défraiement transport, hébergement, nourriture, connexion internet etc.);fonctionnement;250;;Département des Yvelines (CD78);Libanais en Yvelines (LEY);"Autres dépenses (suivi ; coordination ; coopération)";;;2026;;prevue;Justificatifs attendus : remboursement de frais, devis+factures — Décaissement : LEY puis Azour / Comité de Jumelage puis Jeïta — réparti pour facilité logistique
CEM Liban — Triade Villepreux · Azour · LEY;Réunions de travail et COPIL (défraiement transport, hébergement, nourriture, connexion internet etc.);fonctionnement;250;;Département des Yvelines (CD78);Libanais en Yvelines (LEY);"Autres dépenses (suivi ; coordination ; coopération)";;;2027;;prevue;Justificatifs attendus : remboursement de frais, devis+factures — Décaissement : LEY puis Azour / Comité de Jumelage puis Jeïta — réparti pour facilité logistique
CEM Liban — Triade Villepreux · Azour · LEY;Mise à disposition (temps de travail et ressources) - Commune de Villepreux;fonctionnement;500;;Commune de Villepreux;Libanais en Yvelines (LEY);"Autres dépenses (suivi ; coordination ; coopération)";;;2025;oui;prevue;
CEM Liban — Triade Villepreux · Azour · LEY;Mise à disposition (temps de travail et ressources) - Commune de Villepreux;fonctionnement;500;;Commune de Villepreux;Libanais en Yvelines (LEY);"Autres dépenses (suivi ; coordination ; coopération)";;;2026;oui;prevue;
CEM Liban — Triade Villepreux · Azour · LEY;Mise à disposition (temps de travail et ressources) - Commune de Villepreux;fonctionnement;1000;;Commune de Villepreux;Libanais en Yvelines (LEY);"Autres dépenses (suivi ; coordination ; coopération)";;;2027;oui;prevue;
CEM Liban — Triade Villepreux · Azour · LEY;Mise à disposition (temps de travail, ressources, déplacement ) - Libanais en Yvelines;fonctionnement;1000;;Libanais en Yvelines (LEY);Libanais en Yvelines (LEY);"Autres dépenses (suivi ; coordination ; coopération)";;;2025;oui;prevue;
CEM Liban — Triade Villepreux · Azour · LEY;Mise à disposition (temps de travail, ressources, déplacement ) - Libanais en Yvelines;fonctionnement;1000;;Libanais en Yvelines (LEY);Libanais en Yvelines (LEY);"Autres dépenses (suivi ; coordination ; coopération)";;;2026;oui;prevue;
CEM Liban — Triade Villepreux · Azour · LEY;Mise à disposition (temps de travail, ressources, déplacement ) - Libanais en Yvelines;fonctionnement;1000;;Libanais en Yvelines (LEY);Libanais en Yvelines (LEY);"Autres dépenses (suivi ; coordination ; coopération)";;;2027;oui;prevue;
